Item,Date,Price,Count,CrawledAt
닳아버린 순례의 증표,2026-05-30 13:28,270000,16,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,270000,6,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,273333,73,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,272000,18,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,271999,8,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,272000,30,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,272000,50,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,270000,2,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:28,271999,5,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 13:27,271999,4,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,117800,2,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,119000,2,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,118900,9,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,118000,10,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,119000,22,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,120000,23,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,119999,6,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,120000,4,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,120000,2,2026-05-30 13:28
광휘의 소울 결정,2026-05-30 13:27,120000,8,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1080000,1,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1080000,4,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1079000,3,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1079000,2,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1050000,1,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1049999,2,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,1049999,2,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,990000,1,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:28,990000,5,2026-05-30 13:28
에픽 소울 결정,2026-05-30 13:27,1079999,14,2026-05-30 13:28
닳아버린 순례의 증표,2026-05-30 14:18:57,274085,12,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:36,274169,2,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:33,274169,20,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:32,274169,2,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:30,273999,2,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:30,274085,1,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:29,274169,2,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:26,274085,3,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:20,274000,1,2026-05-30 14:19:01
닳아버린 순례의 증표,2026-05-30 14:18:20,273999,7,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:53,130000,33,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,129555,22,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,127800,21,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,127900,18,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,128000,2,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,130000,89,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,127999,2,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,128000,19,2026-05-30 14:19:01
광휘의 소울 결정,2026-05-30 14:18:20,128999,2,2026-05-30 14:19:01
에픽 소울 결정,2026-05-30 14:14:17,985000,1,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:13:01,988000,1,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:12:47,1059999,20,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:12:03,988887,1,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:09:56,1059999,1,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:09:49,1250000,37,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:09:41,1050000,1,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:07:45,1180000,9,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:07:41,1090000,3,2026-05-30 14:19:02
에픽 소울 결정,2026-05-30 14:07:38,1090000,6,2026-05-30 14:19:02
닳아버린 순례의 증표,2026-05-30 15:51:56,272000,5,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,270000,2,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,269000,1,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,269999,26,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,268888,2,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,270000,13,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,272000,3,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,270000,40,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,270000,1,2026-05-30 15:52:23
닳아버린 순례의 증표,2026-05-30 15:51:36,272085,61,2026-05-30 15:52:23
광휘의 소울 결정,2026-05-30 15:52:23,144444,70,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:21,144444,4,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:12,144444,23,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,137777,2,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,125000,4,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,139000,12,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,139999,10,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,144433,10,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,140000,8,2026-05-30 15:52:24
광휘의 소울 결정,2026-05-30 15:52:08,144433,14,2026-05-30 15:52:24
에픽 소울 결정,2026-05-30 15:52:22,959000,1,2026-05-30 15:52:24
에픽 소울 결정,2026-05-30 15:51:53,955000,1,2026-05-30 15:52:24
에픽 소울 결정,2026-05-30 15:51:49,960000,1,2026-05-30 15:52:24
에픽 소울 결정,2026-05-30 15:51:25,975000,1,2026-05-30 15:52:24
